NUMERO;NPER;SECC;SEGM;NOMBARRIO;Estrato;Sexo;Edad;E45_1;E45_2;E45_3;Fuma?;E190_1;E190_1_1;E190_2;E190_2_1;E190_3;E190_3_1;E191;E192;E197_1;E212_1;E215_1;E60 (Celular);F66 (Trabajo);F73;F74;F85 (Horas);G126_1 (Sueldo);G_ITND_1;G142;G_IT_1 (jubil);G_IT_2 (pensionistas);POBPCOAC (cond act eco);PT1 (TOTAL DE INGRESOS PERSONALES)
2018056857;1;1;3;Ciudad Vieja;3;2;61;2;1;2;4;0;0;0;0;0;0;0;5;1;0;0;1;2;0;0;0;0;2;0;2;1;9;20000
2018055676;2;1;3;Ciudad Vieja;3;1;65;2;1;2;2;0;0;0;0;0;0;1;0;1;0;0;1;2;0;0;0;0;2;0;1;2;10;45000
2018006130;2;1;3;Ciudad Vieja;3;2;66;2;1;2;3;0;0;0;0;0;0;0;0;1;0;1;1;2;0;0;0;0;2;0;1;2;10;40000
2018052855;2;1;3;Ciudad Vieja;3;1;69;2;1;2;3;0;0;0;0;0;0;0;0;1;0;0;2;2;0;0;0;0;2;0;1;2;10;47000
2018006130;1;1;3;Ciudad Vieja;3;1;71;2;1;2;3;0;0;0;0;0;0;0;5;1;2;0;1;2;0;0;0;0;2;0;1;2;10;29000
2018031920;1;1;3;Ciudad Vieja;3;2;81;2;1;2;4;0;0;0;0;0;0;0;5;1;1;0;1;2;0;0;0;0;2;0;1;2;10;60000
2018054329;1;1;3;Ciudad Vieja;3;2;83;2;1;2;4;0;0;0;0;0;0;0;5;1;0;0;1;2;0;0;0;0;2;0;1;1;10;37175
2018003050;1;1;3;Ciudad Vieja;3;1;91;2;1;2;3;0;0;0;0;0;0;0;5;2;0;0;2;2;0;0;0;0;2;0;1;1;10;20000
2018014842;2;1;104;Centro;3;1;14;2;1;2;4;0;0;0;0;0;0;0;0;1;0;0;1;2;0;0;0;0;2;0;2;2;7;0
2018019519;1;1;104;Centro;3;1;24;1;2;2;4;0;0;0;0;0;0;0;5;1;0;0;1;1;1;0;30;29500;2;0;2;2;2;39013
2018021704;1;1;104;Centro;3;1;26;2;1;2;1;1;1;1;1;2;0;3;1;1;0;0;1;1;2;3;35;36000;2;0;2;2;2;38071
2018021704;2;1;104;Centro;3;1;29;2;1;2;4;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;40;20000;2;0;2;2;2;22071
2018036466;1;1;104;Centro;3;2;30;2;1;2;4;0;0;0;0;0;0;0;5;1;0;0;1;1;1;0;40;25000;2;0;2;2;2;31758
