Seccion.Segmento;Cantidad de personas;Promedio de Estrato;Suma de PT1;Promedio de PT1_2
18.118;8;4;303326;37915.75
4.102;8;4;327390;40923.75
7.205;7;4;426959;60994.14286
23.209;6;4;357210;59535
23.207;6;4;240826;40137.66667
10.66;6;5;219937;36656.16667
18.124;5;4;282734;56546.8
24.121;5;4;384977;76995.4
5.102;5;4;221868;44373.6
7.303;2;4;63000;31500
24.126;2;4;145000;72500
7.1;1;2;47054;47054
